stageName,frequencyHz,sourceChain,destinationChain,magnitudeDb,phaseDegrees
pre-PA,-8242187.5,1,0,-20.196560502492854,-14.698491471061518
pre-PA,-8242187.5,0,1,-13.078603070046169,121.43339160113591
pre-PA,-8242187.5,1,1,0.0,0.0
pre-PA,-8203125.0,0,0,0.0,0.0
pre-PA,-8203125.0,1,0,-20.195324641583685,-14.799826235498001
pre-PA,-8203125.0,0,1,-13.074200504976051,121.00091809252257
pre-PA,-8203125.0,1,1,0.0,0.0
pre-PA,-8164062.5,0,0,0.0,0.0
pre-PA,-8164062.5,1,0,-20.194077084051855,-14.90108046774235
pre-PA,-8164062.5,0,1,-13.069828278986824,120.56839662975301
pre-PA,-8164062.5,1,1,0.0,0.0
pre-PA,-8125000.0,0,0,0.0,0.0
pre-PA,-8125000.0,1,0,-20.192817793012125,-15.002255083847375
pre-PA,-8125000.0,0,1,-13.065486388558885,120.13582757365769
pre-PA,-8125000.0,1,1,0.0,0.0
pre-PA,-8085937.5,0,0,0.0,0.0
pre-PA,-8085937.5,1,0,-20.19154673217293,-15.103351001493548
pre-PA,-8085937.5,0,1,-13.061174830183136,119.70321128450152
pre-PA,-8085937.5,1,1,0.0,0.0
pre-PA,-8046875.0,0,0,0.0,0.0
pre-PA,-8046875.0,1,0,-20.19026386583937,-15.204369139961225
pre-PA,-8046875.0,0,1,-13.056893600361182,119.27054812198828
pre-PA,-8046875.0,1,1,0.0,0.0
pre-PA,-8007812.5,0,0,0.0,0.0
pre-PA,-8007812.5,1,0,-20.188969158916066,-15.305310420102566
pre-PA,-8007812.5,0,1,-13.052642695605606,118.83783844526508
pre-PA,-8007812.5,1,1,0.0,0.0
pre-PA,-7968750.0,0,0,0.0,0.0
pre-PA,-7968750.0,1,0,-20.187662576910004,-15.406175764313375
pre-PA,-7968750.0,0,1,-13.048422112440175,118.40508261292632
pre-PA,-7968750.0,1,1,0.0,0.0
pre-PA,-7929687.5,0,0,0.0,0.0
pre-PA,-7929687.5,1,0,-20.186344085933356,-15.506966096504533
pre-PA,-7929687.5,0,1,-13.044231847400098,117.97228098301838
pre-PA,-7929687.5,1,1,0.0,0.0
pre-PA,-7890625.0,0,0,0.0,0.0
pre-PA,-7890625.0,1,0,-20.185013652706246,-15.60768234207357
pre-PA,-7890625.0,0,1,-13.040071897032249,117.53943391304371
pre-PA,-7890625.0,1,1,0.0,0.0
pre-PA,-7851562.5,0,0,0.0,0.0
pre-PA,-7851562.5,1,0,-20.183671244559463,-15.708325427875668
pre-PA,-7851562.5,0,1,-13.035942257895393,117.1065417599651
pre-PA,-7851562.5,1,1,0.0,0.0
pre-PA,-7812500.0,0,0,0.0,0.0
pre-PA,-7812500.0,1,0,-20.182316829437163,-15.808896282194894
pre-PA,-7812500.0,0,1,-13.031842926560412,116.67360488021005
pre-PA,-7812500.0,1,1,0.0,0.0
pre-PA,-7773437.5,0,0,0.0,0.0
pre-PA,-7773437.5,1,0,-20.18095037589946,-15.909395834714823
pre-PA,-7773437.5,0,1,-13.027773899610542,116.24062362967499
pre-PA,-7773437.5,1,1,0.0,0.0
pre-PA,-7734375.0,0,0,0.0,0.0
pre-PA,-7734375.0,1,0,-20.17957185312507,-16.009825016489366
pre-PA,-7734375.0,0,1,-13.02373517364159,115.80759836372955
